id,name,email,gender,grades
50,Wakefield Guilayn,wguilayn1d@barnesandnoble.com,Male,4.2
51,Antonetta Brigshaw,abrigshaw1e@loc.gov,Female,4.4
52,Teddi Turfrey,tturfrey1f@google.com.br,Female,4.9
53,Berenice Farden,bfarden1g@vistaprint.com,Female,9.2
54,Xylina Starsmeare,xstarsmeare1h@hugedomains.com,Female,2.5
55,Walden Glassard,wglassard1i@jiathis.com,Male,3.7
56,Ilaire Steptow,isteptow1j@netvibes.com,Male,8.5
57,Korella Spoole,kspoole1k@fema.gov,Female,6.9
58,Jamison Schimpke,jschimpke1l@reverbnation.com,Male,1.1
59,Rhianna Heliet,rheliet1m@wikipedia.org,Genderqueer,9.5
60,Madella Weddup,mweddup1n@mozilla.com,Female,8.8
61,Casey Powers,cpowers1o@infoseek.co.jp,Female,5.1
62,Jolie Lemerle,jlemerle1p@tripadvisor.com,Female,10.0
63,Bernardine Dunbabin,bdunbabin1q@symantec.com,Female,4.5
64,Erwin Gutch,egutch1r@jalbum.net,Male,4.3
65,Gaylord Marxsen,gmarxsen1s@vistaprint.com,Male,5.8
66,Celisse Duinkerk,cduinkerk1t@buzzfeed.com,Genderfluid,8.8
67,Jaquenetta Major,jmajor1u@comcast.net,Female,3.9
68,Odie Randall,orandall1v@washington.edu,Male,1.3
69,Sib Dmitrovic,sdmitrovic1w@dagondesign.com,Female,1.3
70,Miles Ellwand,mellwand1x@marketwatch.com,Male,6.7
71,Kalli Tuckwood,ktuckwood1y@themeforest.net,Female,9.1
72,Kahaleel Roadnight,kroadnight1z@list-manage.com,Male,2.5
73,Ottilie Sorley,osorley20@eventbrite.com,Female,1.3
74,Jean Durrell,jdurrell21@infoseek.co.jp,Male,6.8
75,Parsifal Liddle,pliddle22@utexas.edu,Male,3.1
76,Haywood Ortiga,hortiga23@wiley.com,Male,3.9
77,Nomi Anthiftle,nanthiftle24@gnu.org,Female,2.5
78,Janot Gander,jgander25@ox.ac.uk,Female,2.9
79,Pauly Parsons,pparsons26@360.cn,Male,8.8
80,Donavon Ellicombe,dellicombe27@adobe.com,Male,9.2
81,Reamonn Tonner,rtonner28@vk.com,Male,2.0
82,Lonna Crolla,lcrolla29@addthis.com,Female,4.2
83,Rhianna Gallymore,rgallymore2a@instagram.com,Female,4.9
84,Ruthann Tunnicliffe,rtunnicliffe2b@pbs.org,Female,5.6
85,Adiana Gullivent,agullivent2c@ucsd.edu,Female,7.5
86,Odette Stanyon,ostanyon2d@aboutads.info,Female,5.0
87,Evie Piser,episer2e@patch.com,Female,6.5
88,Gusty Ierland,gierland2f@yahoo.co.jp,Female,1.1
89,Dagny Allsobrook,dallsobrook2g@craigslist.org,Male,7.9
90,Gamaliel Dougliss,gdougliss2h@usgs.gov,Male,7.3
91,Traver Quigg,tquigg2i@guardian.co.uk,Bigender,8.1
92,Tiebout Linbohm,tlinbohm2j@4shared.com,Male,8.7
93,Joey Peto,jpeto2k@mozilla.com,Male,6.6
94,Enoch Jouhan,ejouhan2l@mayoclinic.com,Male,9.8
95,Calv Hearley,chearley2m@wordpress.org,Male,4.1
96,Kimberley Kleinlerer,kkleinlerer2n@sfgate.com,Female,6.7
97,Dame Broadbere,dbroadbere2o@businesswire.com,Male,6.6
98,Sylvan Simison,ssimison2p@istockphoto.com,Male,2.5
99,Renaud Leamon,rleamon2q@webs.com,Male,4.8
100,Chilton Arnely,carnely2r@time.com,Agender,3.3
